order_id,created_at,channel,gross,currency,customer_email
AC-5064,2026-02-11T04:01:00Z,Newsletter,20.73,GBP,a843@example.invalid
AC-5061,2026-02-11T05:08:00Z,TikTok,23.29,GBP,a704@example.invalid
AC-5066,2026-02-11T06:01:00Z,TikTok,66.35,GBP,a399@example.invalid
AC-5067,2026-02-11T07:48:00Z,Newsletter,130.60,GBP,a365@example.invalid
AC-5060,2026-02-11T12:47:00Z,Direct,199.79,GBP,a842@example.invalid
AC-5068,2026-02-11T13:53:00Z,Newsletter,43.17,GBP,a857@example.invalid
AC-5069,2026-02-11T14:42:00Z,Search,130.00,GBP,a629@example.invalid
AC-5070,2026-02-11T16:08:00Z,Direct,120.11,GBP,a636@example.invalid
AC-5065,2026-02-11T16:47:00Z,Instagram,197.26,GBP,a544@example.invalid
AC-5062,2026-02-11T20:09:00Z,Direct,135.42,GBP,a710@example.invalid
AC-5063,2026-02-11T21:59:00Z,Direct,85.28,GBP,a661@example.invalid
AC-5075,2026-02-12T01:15:00Z,Newsletter,54.73,GBP,a143@example.invalid
AC-5082,2026-02-12T02:42:00Z,Search,64.20,GBP,a174@example.invalid
AC-5081,2026-02-12T04:26:00Z,Direct,41.35,GBP,a552@example.invalid
AC-5072,2026-02-12T05:09:00Z,TikTok,108.91,GBP,a842@example.invalid
AC-5080,2026-02-12T08:59:00Z,Newsletter,125.43,GBP,a307@example.invalid
AC-5077,2026-02-12T14:20:00Z,Instagram,135.61,GBP,a617@example.invalid
AC-5071,2026-02-12T14:49:00Z,Instagram,53.16,GBP,a104@example.invalid
AC-5078,2026-02-12T16:12:00Z,Newsletter,151.00,GBP,a563@example.invalid
AC-5076,2026-02-12T16:28:00Z,Instagram,125.85,GBP,a878@example.invalid
AC-5073,2026-02-12T17:03:00Z,Instagram,80.59,GBP,a630@example.invalid
AC-5074,2026-02-12T17:30:00Z,Newsletter,168.58,GBP,a208@example.invalid
AC-5079,2026-02-12T17:51:00Z,Newsletter,109.78,GBP,a353@example.invalid
AC-5083,2026-02-13T03:57:00Z,Search,167.17,GBP,a833@example.invalid
AC-5091,2026-02-13T03:58:00Z,Instagram,169.37,GBP,a207@example.invalid
AC-5084,2026-02-13T04:16:00Z,Search,187.50,GBP,a578@example.invalid
AC-5088,2026-02-13T10:05:00Z,Search,156.65,GBP,a119@example.invalid
AC-5090,2026-02-13T10:33:00Z,Direct,137.79,GBP,a624@example.invalid
AC-5087,2026-02-13T16:25:00Z,Direct,83.11,GBP,a300@example.invalid
AC-5089,2026-02-13T17:29:00Z,Search,102.57,GBP,a118@example.invalid
AC-5086,2026-02-13T21:53:00Z,TikTok,60.95,GBP,a823@example.invalid
AC-5085,2026-02-13T23:06:00Z,TikTok,94.47,GBP,a598@example.invalid
AC-5097,2026-02-14T00:40:00Z,Search,35.00,GBP,a366@example.invalid
AC-5093,2026-02-14T04:52:00Z,Search,99.07,GBP,a792@example.invalid
AC-5092,2026-02-14T08:02:00Z,Search,191.93,GBP,a285@example.invalid
AC-5094,2026-02-14T12:09:00Z,Search,121.03,GBP,a627@example.invalid
AC-5099,2026-02-14T14:00:00Z,Instagram,83.12,GBP,a666@example.invalid
AC-5095,2026-02-14T15:44:00Z,Newsletter,80.79,GBP,a385@example.invalid
AC-5098,2026-02-14T19:54:00Z,Instagram,60.70,GBP,a370@example.invalid
AC-5096,2026-02-14T22:11:00Z,Instagram,99.66,GBP,a174@example.invalid
AC-5105,2026-02-15T00:01:00Z,Instagram,158.75,GBP,a664@example.invalid
AC-5101,2026-02-15T03:10:00Z,TikTok,68.28,GBP,a285@example.invalid
AC-5103,2026-02-15T09:28:00Z,TikTok,114.02,GBP,a282@example.invalid
AC-5102,2026-02-15T09:40:00Z,TikTok,76.56,GBP,a877@example.invalid
AC-5104,2026-02-15T11:51:00Z,Search,21.49,GBP,a356@example.invalid
AC-5106,2026-02-15T16:30:00Z,TikTok,65.17,GBP,a557@example.invalid
AC-5108,2026-02-15T17:53:00Z,Direct,188.64,GBP,a618@example.invalid
AC-5100,2026-02-15T19:08:00Z,Search,26.30,GBP,a826@example.invalid
AC-5107,2026-02-15T21:52:00Z,Instagram,142.82,GBP,a772@example.invalid
AC-5109,2026-02-15T22:13:00Z,Search,206.63,GBP,a450@example.invalid
AC-5110,2026-02-15T22:46:00Z,TikTok,140.11,GBP,a514@example.invalid
AC-5111,2026-02-16T04:00:00Z,Instagram,31.58,GBP,a858@example.invalid
AC-5120,2026-02-16T04:25:00Z,Instagram,130.67,GBP,a503@example.invalid
AC-5115,2026-02-16T08:28:00Z,TikTok,18.70,GBP,a472@example.invalid
AC-5117,2026-02-16T11:11:00Z,TikTok,18.21,GBP,a490@example.invalid
AC-5112,2026-02-16T13:10:00Z,Search,28.64,GBP,a781@example.invalid
AC-5118,2026-02-16T15:17:00Z,Instagram,114.53,GBP,a305@example.invalid
AC-5113,2026-02-16T16:42:00Z,Direct,204.42,GBP,a713@example.invalid
AC-5119,2026-02-16T16:49:00Z,TikTok,18.95,GBP,a370@example.invalid
AC-5116,2026-02-16T17:20:00Z,Search,64.93,GBP,a416@example.invalid
AC-5114,2026-02-16T22:18:00Z,TikTok,26.69,GBP,a289@example.invalid
